Date,Time,Open,High,Low,Close,Volume,
2015.07.01,0:00,1.11435,1.11713,1.10428,1.1055,141878,
2015.07.02,0:00,1.1055,1.11214,1.10323,1.1086,128903,
2015.07.03,0:00,1.10857,1.11178,1.10651,1.11066,98039,
2015.07.06,0:00,1.09924,1.10956,1.09786,1.10557,152026,
2015.07.07,0:00,1.10557,1.10567,1.09164,1.09973,162862,
2015.07.08,0:00,1.09973,1.10928,1.09742,1.10737,170284,
2015.07.09,0:00,1.10741,1.11251,1.09915,1.10464,149842,
2015.07.10,0:00,1.10472,1.12161,1.10445,1.11529,162434,
2015.07.13,0:00,1.11336,1.11972,1.09956,1.10043,156286,
2015.07.14,0:00,1.10045,1.10846,1.09655,1.10076,140736,
2015.07.15,0:00,1.10074,1.10357,1.09299,1.09459,139766,
2015.07.16,0:00,1.0946,1.09626,1.08556,1.0876,134208,
2015.07.17,0:00,1.08762,1.0907,1.08307,1.08315,112591,
2015.07.20,0:00,1.08334,1.08704,1.08086,1.08216,111464,
2015.07.21,0:00,1.08219,1.09688,1.08116,1.09381,133876,
2015.07.22,0:00,1.09377,1.09669,1.08695,1.09288,128132,
2015.07.23,0:00,1.09287,1.1018,1.09218,1.09828,129192,
2015.07.24,0:00,1.09829,1.09959,1.09254,1.09802,105689,
2015.07.27,0:00,1.0977,1.11293,1.0969,1.10918,117057,
2015.07.28,0:00,1.1092,1.10998,1.10222,1.10621,111060,
2015.07.29,0:00,1.10622,1.1084,1.09671,1.09789,123463,
2015.07.30,0:00,1.09789,1.09897,1.08932,1.09325,119777,
2015.07.31,0:00,1.09317,1.11142,1.09212,1.09837,138466,
2015.08.03,0:00,1.09788,1.0996,1.09413,1.09531,113772,
2015.08.04,0:00,1.0953,1.09876,1.08791,1.08905,121312,
